Id	node	color	Type_1_1	Type_1_2	Type_1_3	Type_1_4	Type_1_5	Type_1_6	Type_2_1	Type_2_2	Type_2_3	Type_2_4	Type_2_5	Type_2_6
	Item.B.1		29.00	18.00	37.00	18.00	0.00	39.00	10.00	39.00	15.00	10.00	26.00	5.00
	Item.B.3		10.00	103.00	90.00	10.00	27.00	46.00	65.00	126.00	41.00	12.00	119.00	110.00
	Item.B.6		4.00	69.00	131.00	230.00	240.00	279.00	205.00	110.00	27.00	186.00	215.00	287.00
	Item.B.7		246.00	226.00	158.00	209.00	26.00	96.00	101.00	111.00	226.00	196.00	145.00	72.00
	Item.B.9		13.00	148.00	48.00	10.00	8.00	50.00	53.00	97.00	114.00	136.00	89.00	91.00
	Item.B.12		4027.00	15582.00	39649.00	91435.00	10092.00	94979.00	44618.00	84436.00	41801.00	22317.00	21015.00	91777.00
	Item.B.13		4679.00	341.00	373.00	4143.00	4189.00	1470.00	2595.00	1950.00	1500.00	744.00	3856.00	851.00
	Item.B.14		466.00	1045.00	803.00	1430.00	1400.00	1416.00	1154.00	2323.00	2252.00	868.00	172.00	360.00
	Item.B.15		235.00	78.00	4.00	243.00	295.00	225.00	92.00	7.00	148.00	266.00	20.00	280.00
	Item.B.16		758.00	208.00	220.00	614.00	414.00	56.00	754.00	425.00	705.00	695.00	332.00	1024.00
